InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,16.49,01/01/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,2,32.98,16.49,01/02/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,16.49,01/03/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,14.49,14.49,01/08/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,2,69.98,34.99,01/09/2016,375,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/15/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/22/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/30/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,4,59.96,14.99,01/05/2016,750,2,0.45,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,01/06/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,01/08/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,01/10/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/19/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
InventoryId,Store,Brand,F Coppola Dmd Ivry Cab Svgn,750mL,3,44.97,14.99,1/22/2016,750,2,0.34,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_1004,1,11451.15385,F Coppola Dmd Ivry Cab Svgn,750mL,2,29.98,14.99,1/23/2016,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_1004,1,12446.08791,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/25/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_1004,1,13441.02198,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/29/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_1004,1,14435.95604,Jim Beam Candy Cane 4/50mLs,50mL 4 Pk,1,3.99,3.99,1/29/2016,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,15430.89011,Terroirs du Rhone,750mL,1,8.99,8.99,01/01/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1005,1,16425.82418,Terroirs du Rhone,750mL,1,8.99,8.99,01/02/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1005,1,17420.75824,Terroirs du Rhone,750mL,1,8.99,8.99,01/05/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1005,1,18415.69231,Terroirs du Rhone,750mL,1,8.99,8.99,01/07/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_10058,1,19410.62637,Terroirs du Rhone,750mL,3,26.97,8.99,01/09/2016,750,2,0.34,10754,PERFECTA WINES             
1_HARDERSFIELD_10058,1,20405.56044,Terroirs du Rhone,750mL,1,8.99,8.99,1/14/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_10058,1,21400.49451,Terroirs du Rhone,750mL,1,8.99,8.99,1/16/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_10058,1,22395.42857,Terroirs du Rhone,750mL,1,8.99,8.99,1/18/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_10058,1,23390.36264,Terroirs du Rhone,750mL,2,17.98,8.99,1/22/2016,750,2,0.22,10754,PERFECTA WINES             
InventoryId,Store,Brand,Terroirs du Rhone,750mL,1,8.99,8.99,1/23/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1004,1,24385.2967,Terroirs du Rhone,750mL,3,26.97,8.99,1/24/2016,750,2,0.34,10754,PERFECTA WINES             
1_HARDERSFIELD_1004,1,25380.23077,Terroirs du Rhone,750mL,1,8.99,8.99,1/28/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1004,1,26375.16484,Terroirs du Rhone,750mL,1,8.99,8.99,1/30/2016,750,2,0.11,10754,PERFECTA WINES             
1_HARDERSFIELD_1004,1,27370.0989,Rebel Yell Variety Pack,750mL 3 Pk,1,49.99,49.99,01/02/2016,750,1,0.79,8352,LUXCO INC                  
1_HARDERSFIELD_1005,1,28365.03297,Courvoisier VSOP VAP,750mL,1,34.99,34.99,1/29/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,29359.96703,Kahlua Pumpkin Spice Liqueur,750mL,1,18.99,18.99,01/06/2016,750,1,0.79,17035,PERNOD RICARD USA          
1_HARDERSFIELD_1005,1,30354.9011,Kahlua Pumpkin Spice Liqueur,750mL,1,18.99,18.99,1/29/2016,750,1,0.79,17035,PERNOD RICARD USA          
1_HARDERSFIELD_1005,1,31349.83516,Drambuie Glass Pack,750mL,1,26.99,26.99,01/09/2016,750,1,0.79,3664,WILLIAM GRANT & SONS INC   
1_HARDERSFIELD_10058,1,32344.76923,Drambuie Glass Pack,750mL,1,26.99,26.99,1/20/2016,750,1,0.79,3664,WILLIAM GRANT & SONS INC   
1_HARDERSFIELD_10058,1,33339.7033,B & B Dom VAP,750mL,1,24.99,24.99,1/29/2016,750,1,0.79,480,BACARDI USA INC            
1_HARDERSFIELD_10058,1,34334.63736,St Brendans Peppermint Bark,750mL,12,167.88,13.99,1/29/2016,750,1,9.45,8352,LUXCO INC                  
1_HARDERSFIELD_10058,1,35329.57143,St Brendans Salted Caramel,750mL,1,13.99,13.99,1/30/2016,750,1,0.79,8352,LUXCO INC                  
1_HARDERSFIELD_10058,1,36324.50549,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,01/06/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
InventoryId,Store,Brand,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,01/09/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,37319.43956,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,01/12/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,38314.37363,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,1/14/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,39309.30769,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,1/16/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,40304.24176,Layer Cake Malbec Mendoza,750mL,2,31.98,15.99,1/19/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1005,1,41299.17582,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,1/22/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1005,1,42294.10989,Layer Cake Malbec Mendoza,750mL,2,31.98,15.99,1/23/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1005,1,43289.04396,Layer Cake Malbec Mendoza,750mL,1,15.99,15.99,1/28/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1005,1,44283.97802,Layer Cake Primitivo Puglia,750mL,2,31.98,15.99,01/02/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_10058,1,45278.91209,Layer Cake Primitivo Puglia,750mL,2,31.98,15.99,01/06/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_10058,1,46273.84615,Layer Cake Primitivo Puglia,750mL,2,31.98,15.99,01/09/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_10058,1,47268.78022,Layer Cake Primitivo Puglia,750mL,4,63.96,15.99,01/12/2016,750,2,0.45,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_10058,1,48263.71429,Layer Cake Primitivo Puglia,750mL,3,47.97,15.99,1/14/2016,750,2,0.34,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_10058,1,49258.64835,Layer Cake Primitivo Puglia,750mL,2,31.98,15.99,1/15/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
InventoryId,Store,Brand,Layer Cake Primitivo Puglia,750mL,4,63.96,15.99,1/16/2016,750,2,0.45,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,50253.58242,Layer Cake Primitivo Puglia,750mL,1,15.99,15.99,1/19/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,51248.51648,Layer Cake Primitivo Puglia,750mL,6,95.94,15.99,1/22/2016,750,2,0.68,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,52243.45055,Layer Cake Primitivo Puglia,750mL,1,15.99,15.99,1/29/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
1_HARDERSFIELD_1004,1,53238.38462,Cannonball Cab Svgn Cal,750mL,1,13.99,13.99,01/02/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
